gamma,k,sharpe,total_return,max_dd,final_inventory
0.01,0.5,0.8119845655309845,0.014397598398453264,-0.0009047343103606763,-18
0.01,1.5,0.5334932423615202,0.004938978943153779,-0.00042393290749799593,11
0.01,5.0,0.7358884263517229,0.0015742495020823844,-0.00013909341367489468,-16
0.1,0.5,1.392689906252743,0.01445952948911683,-0.0005195122141500763,-2
0.1,1.5,1.152544498830734,0.004728800439272163,-0.00030864182785650987,-21
0.1,5.0,0.7909480962050714,0.0015220723066125357,-0.00044401867651820063,-27
0.5,0.5,1.5529935288482404,0.013117374663545634,-0.0012672975083644368,8
0.5,1.5,1.0783565586387922,0.004167529815060553,-0.0014756989470427946,-11
0.5,5.0,1.4615126681515405,0.00026823731809912717,-9.166957061003284e-05,10
1.0,0.5,1.6618427121458386,0.010436326906292233,-0.0008078536200597106,5
1.0,1.5,1.8021313939336352,0.0026789096390883787,-0.0007022344387458506,9
1.0,5.0,3.6126516254360803,0.00015231741816649447,-5.940173463342012e-05,0
