gamma,k,sharpe_ratio,total_return,max_drawdown
0.01,0.5,0.5502302831513629,0.015078006618301734,-0.0011967193387870975
0.01,1.0,0.5414857097965269,0.0076179862968056115,-0.0007413098670346217
0.01,1.5,0.5405365867207835,0.005147289786459296,-0.0006228222352271278
0.01,2.0,0.5304379417025481,0.003938156693178753,-0.0005537113814756354
0.05,0.5,0.5499727041953194,0.015128781202293612,-0.0012142621126579507
0.05,1.0,0.5570606988193263,0.007782934880612156,-0.0008304643592038997
0.05,1.5,0.6174351045702037,0.005153814580674516,-0.0006389333838887866
0.05,2.0,0.6279735577347534,0.004078522729750403,-0.0005517057021435958
0.1,0.5,0.5461104782071772,0.015452721718506219,-0.0012645101060447174
0.1,1.0,0.642827513799222,0.007681409596394515,-0.0008371223312087321
0.1,1.5,0.6216259977726768,0.005623306801183644,-0.0007519769761817277
0.1,2.0,0.7104048247328266,0.004116605911582155,-0.0006471801324820271
0.5,0.5,0.8203188070614765,0.014117568759081042,-0.0019996904003918084
0.5,1.0,1.1463778947049246,0.00581207896734195,-0.001008137707091052
0.5,1.5,1.2894189054950798,0.0033433851386212338,-0.00077896649176247
0.5,2.0,1.3217391169355348,0.002822787496058154,-0.0007055638052118072
1.0,0.5,0.8731349360837417,0.012769534813332721,-0.0033082827865420876
1.0,1.0,1.2187171036167117,0.00472690293423686,-0.0012116354318887166
1.0,1.5,1.5481621410986317,0.0028063336439373963,-0.0008577291595744986
1.0,2.0,1.5585460685107593,0.0013851367272097559,-0.000993497497975483
